題號,題目,選項A,選項B,選項C,選項D,Answer
12,(113-5) 《氣候變遷綱要公約》(UNFCCC) 是於哪一個會議中所提出？,人類環境會議(Conference on the Human Environment),地球高峰會(Earth Summit),日內瓦會議(Geneva Conference),聯合國環境與發展會議(UNCED),"2,4"
13,(113-5) 聯合國政府間氣候變遷專門委員會(IPCC)於 2018 年強調將升溫控制在 1.（113-5）5°C 以內；五年後，IPCC 報告指出 由於溫室氣體排放量持續增加，2011 至 2020 年的全球地表溫度，相較於工業化前的水準，已升溫近多少 度，並預估暖化高峰可能來到 ,0.9°C,1.0°C,1.1°C,1.2°C,3
14,(113-5) 永續金融包含下列哪一項內容？ ,低碳金融,氣候金融,綠色金融,以上皆是,4
15,(113-5) 以下是金融市場參與者與諮詢機構對具有 ESG 屬性的金融產品之揭露說明何者錯誤？ ,需強制規範每天進行揭露,負有協定前揭露(pre-contractual disclosures),階段報告揭露(periodic reporting disclosures),永續投資決策中的重大不利影響(PAIs)揭露等義務,1
16,(113-5) 在《京都議定書》中，唯因各締約國之歷史發展與現實情況的不同，故依以下哪一個原則，要求已開發國 家採取先行作為(lead action)進行氣候變遷行動？ ,完全一致性,共同但有差異,鑑別性,完全差異化,2
17,(113-5) 我國推動綠色金融行動方案 3.（113-5）0 之中五大推動面向，下列何者為非？ ,佈局,生態系,轉型,資金,3
18,(113-5) 聯合國政府間氣候變遷專門委員會(IPCC)之第 6 次總結報告(AR6 Synthesis Report)主要強調的內容為何？ ,對減緩氣候變化的進展和承諾進行最新的全球評估,氣候變遷對世界的影響與人類的因應能力分析,強調氣候變遷、人類社會、生態系統之間的互動,探討全球暖化的原因,3
19,(113-5) 有關碳邊境調整機制(CBAM)，原先歐盟執行委員會提議的高碳排產業為以下哪五大產業？,鋼鐵、水泥、氫氣、鋁、電力,鋼鐵、水泥、化肥、食品、電力,鋼鐵、塑膠、化肥、鋁、電力,鋼鐵、水泥、化肥、鋁、電力,4
20,(113-5) 綠天鵝事件(Green Swan event)是由國際清算銀行(BIS)於 2020 年提出，強調什麼重要性？,氣候變化和環境風險對金融體系的重要性,強調歷史數據和模型的重要性,受保護的綠色鳥類物種發生重大變化的重要性,氣候變化引起的社會不穩定,1
21,(113-5) 歐盟提及各經濟活動必須滿足三項條件，才能算是永續發展活動；以下有關三項條件之敘述，何者錯誤？ ,對六大環境目標中至少一項有重大貢獻,水及海洋資源保護為六大環境目標之一,可對其他目標造成重大損害,遵守最低限度的社會安全保障,3
22,(113-5) 現階段造成氣候變遷問題，主因是下列何者？ ,過度捕撈海洋生物,地球自然的氣候循環,人類為了發展經濟過度排碳所累積造成,以上皆非,3
23,(113-5) 上市上櫃公司永續發展實務守則中，關於發展永續環境，對針對水資源與溫室氣體之具體作法，不包含下列何者？ ,制定節能減碳管理之政策,將碳權取得納入企業減碳策略規劃、具體落實,將現有車輛全數以氫能車取代,用水量及廢棄物總重量管理之政策,3
24,(113-5) 有關《氣候變遷綱要公約》(UNFCCC)的敘述，下列何者正確？,該公約對個別締約國規定具體需承擔的義務,該公約具有法律上的約束力,該公約並未規定可在後續從屬的議定書中設定強制碳排放限制,各國與會代表會在各年度的會議中，達成相關的決議內容，成為研究國際氣候變遷治理機制之重要依據,4
25,(113-5) 氣候相關財務揭露工作小組(TCFD)的四項核心要素，下列何者錯誤？,治理：該組織針對氣候相關風險與機會的治理,策略：氣候相關風險與機會對於組織的業務、策略和財務規劃的實際和潛在衝擊,風險管理：組織鑑別、評估和管理氣候相關風險的流程,指標和目標：用以評估和管理企業內部短中長期的業績成長,4
26,(113-5) 根據「證券投資信託事業證券投資顧問事業環境、社會及治理(ESG)投資與風險管理作業流程暨 ESG 資訊 揭露實務指引」，公司至少多久要於永續報告書或網站發布公司 ESG 定期評估報告(包含 ESG 投資與風險 管理之治理機制運作、監控 ESG 相關風險之作業程序及管理措施、盡職治理執行情形等)？,每月,每季,每半年,每年,4
27,(113-5) 確信準則 3000 號中所指之 Assurance Engagement 係為： ,認證案件,確信案件,直接案件,適當方,2
28,(113-5) 請問以下哪一個產業是現行規範揭露產業別永續揭露指標的 14 個產業之一？ ,生技醫療業,資訊服務業,貿易百貨業,電子通路業,4
29,(113-5) 有關組織依循 GRI 準則決定重大主題的流程，下列敘述何者正確？ ,每個步驟的方法將根據組織的特定情況而有所不同,同一國家中所有組織的每個步驟的方法都相同,同樣行業別中所有組織的每個步驟的方法都相同,所有組織的每個步驟的方法都相同,1
30,(113-5) 有關 GRI 準則中對於決定重大主題時，組織鑑別衝擊的相關敘述，下列何者正確？ ,可以使用第三方評估所得的資訊,不可以使用第三方評估所得的資訊,不可以使用自己評估所得的資訊,只可以使用自己評估所得的資訊,1
31,(113-5) 上市上櫃公司子公司之綜合證券商應於哪個年度完成溫室氣體盤查？ ,112 年,113 年,114 年,與上市上櫃母公司之時程一致,4
32,(113-5) SASB 準則五大面向當中的領導與治理(Leadership and Governance)，下列何者是其包含的 ESG 議題？ ,生態衝擊(Ecological Impacts),法規和監管環境的管理(Management of the Legal & Regulatory Environment),勞工關係(Labor Practices),資訊安全(Data Security),2
33,(113-5) 2021 年 11 月 3 日 COP26 會議上，國際財務報導準則基金會(IFRS Foundation)進一步正式宣布成立國際永 續準則委員會(ISSB)，並宣布將價值報告基金會(VRF)併入 IFRS Foundation。說明此一系列的整合行動，是 為了回應何種的需求？,利於全球企業供應鏈管理,全球投資機構對高品質永續相關資訊揭露的需求,幫助各地政府掌握永續資訊,協助企業進行內部碳定價,2
34,(113-5) 有關組織依循 GRI 準則決定重大主題的流程，下列敘述何者錯誤？ ,在每個報導期間，組織宜重新檢視其上一個報導期間的重大主題，以解釋衝擊的變化,衝擊的變化可能源於組織活動的變化,衝擊的變化不可能源於組織商業關係的變化,重新檢視有助於確保重大主題能代表組織在每個新的報導期間內最顯著的衝擊,3
35,(113-5) 投信投顧事業設置之投資研究部門應進行永續投資研究及盡職治理調查，下列哪項不是「證券投資信託事 業證券投資顧問事業環境、社會及治理(ESG)投資與風險管理作業流程暨 ESG 資訊揭露實務指引」強調 需瞭解被投資公司是否善盡之面向？,環境保護,財務績效,公司治理,社會責任,2
36,(113-5) 根據「保險業氣候相關風險財務揭露指引」，針對保險業風險管理及監控之敘述，下列何者正確？ 甲、 訂定評估方法，以辨認具氣候相關風險之部門、交易對手及客戶包括現有及潛在之交易對手及客戶並評估 其影響；乙、訂定氣候相關風險曝險之管理及持續監控機制；丙、針對公司鑑別之氣候風險依「保險業內 部控制三道防線實務守則」進行風險管理 ,僅甲、乙,僅甲、丙,僅乙、丙,甲、乙、丙皆是,4
37,(113-5) SASB 準則五大面向當中的人力資本(Human Capital)，針對其中一項 ESG 議題：勞工關係(Labor Practices)， 下列描述何者正確？ ,包括最低工資政策和福利規定，這可能會影響勞動力的吸引、保留和激勵方式,此議題涉及公司在工作場所維護普遍接受的勞工標準的能力，但不包括遵守勞動法和國際公認的規範和標準,不包括童工保護議題,此議題無法進一步解決公司與勞工組織和結社自由的關係,1
38,(113-5) GRI 準則 2021 之系統架構於三個系列準則，分別為下列何者？ ,GRI 環境準則、GRI 社會準則、GRI 治理準則,GRI 環境準則、GRI 社會準則、GRI 經濟準則,GRI 通用準則、GRI 進階準則、GRI 特殊準則,GRI 通用準則、GRI 行業準則、GRI 主題準則,4
39,(113-5) 依現行「永續報告書作業辦法」，下列哪一行業別之公司，不分資本額均需強制編製永續報告書？ ,上市上櫃之食品工業公司,上市上櫃之化學工業公司,上市上櫃之金融保險業公司,以上皆是,4
40,(113-5) 若企業為環境部公告納管事業者，關於溫室氣體盤查，下列描述何者錯誤？ ,盤查邊界設定要與財務報表一致,盤查邊界設定為環境部核發的管制編號所涵蓋地理邊界,依據營運控制權法區分為直接排放或能源間接排放的單元或程序,不論依循任何溫室氣體盤查規範，企業都需要界定要盤查的範圍,1
41,(113-5) SASB 準則五大面向當中的商業模式與創新(Business Model and Innovation)，下列何者是其包含的 ESG 議題？ ,合理的行銷和廣告(Selling Practices & Product Labeling),產品設計和生命週期管理(Product Design & Lifecycle Management),系統風險管理(Systemic Risk Management),生態衝擊(Ecological Impacts),2
42,(113-5) 根據「保險業氣候相關風險財務揭露指引」，保險業針對哪些具重大氣候相關風險之對象，得建立氣候相 關風險曝險之管理及持續監控機制？ 甲、部門；乙、客戶；丙、交易對手；丁、競爭對手 ,僅乙、丁,僅甲、丙、丁,僅甲、乙、丙,甲、乙、丙、丁皆是,3
43,(113-5) 氣候相關財務揭露工作小組(TCFD)對於主要財務影響分類的指引，針對企業損益表當中的收入面的揭露建 議，下列何者錯誤？,由於碳定價機制仍不普及，企業還不需要急著納入考量,轉型風險和實體風險可能影響對產品和服務的需求，組織應考慮風險對收入產生的潛在影響,組織應鑑別增加或創造新收入的潛在機會,碳定價機制持續成長，企業應納入考量來評估對收入的潛在影響,1
44,(113-5) 依現行上市/櫃公司編製與申報永續報告書作業辦法第四條第二項規定，以下哪一個產業針對其產業別加 強揭露之永續指標須取得會計師所出具之確信報告？ ,化學工業,油電燃氣業,塑膠工業,鋼鐵工業,1
45,(113-5) 銀行訂定高氣候風險客戶之管理措施時，其考慮因素至少應包括下列何者？ 甲、氣候風險之重大性； 乙、客戶改善自身氣候風險之意願與能力；丙、是否有抵減銀行曝險之替代做法 ,僅甲,僅乙、丙,僅甲、乙,甲、乙、丙皆是,4
46,(113-5) 針對永續會計準則委員會(SASB)準則特性之一的指標可比性的定義描述，哪一個正確？,制定出更全面、完整，且質化與量化並行的永續資訊揭露標準，結合 ESG 各面向指標，滿足投資者的 資訊需求，利於企業更全面展現長期績效與價值,關注環境、社會、人力資源、商業模式與創新及領導力及公司治理等五大面向，針對不同產業特性設 計應揭露主題及會計指標,關於指定各產業應計算之指標單位，可協助投資人比較與辨識,是關於指標定義、範疇、計算方式、資料收集方式、參考文獻，以及指標呈現單位均一致，方便投資 人作比較分析,3
47,(113-5) 有關 GRI 準則中對於決定重大主題時，組織鑑別正面衝擊的相關敘述，下列何者正確？ ,僅需考量實際發生的,僅需考量潛在還未發生的,可能是不可逆的,不可能是可逆的,3
48,(113-5) 資本額 100 億元以上及鋼鐵、水泥業公司，規定哪一年揭露合併報表子公司的溫室氣體盤查資訊？ ,114 年,115 年,116 年,117 年,1
49,(113-5) 根據科技部(2022)《IPCC 氣候變遷第六次評估報告「衝擊、調適與脆弱度」之科學重點摘錄與臺灣氣候 變遷衝擊評析更新報告》，在 IPCC AR6 之升溫 2°C 情境下，臺灣周邊海域海平面將上升多少？ ,0.5 公尺,1.0 公尺,1.5 公尺,2.0 公尺,1
50,(113-5) 民眾想要查詢臺北市淹水潛勢，應該到哪一個單位網站查詢？ ,農委會,臺灣氣候變遷推估資訊與調適知識平台,世界資源研究所,國家災害防救科技中心,4
51,(113-5) 極端氣候發生的頻率越來越高，下列哪一個例外？ ,熱浪,豪雨,乾旱,寒流,4
52,(113-5) 「土壤劣化導致農作物生產力下降或農產品品質降低」是哪一種風險？ ,立即性實體風險,長期性實體風險,市場風險,技術風險,2
53,(113-5) 根據 IPCC AR6 給決策者的摘要報告，過去及未來的溫室氣體排放所造成的哪些變遷在未來數世紀至數千 年都是不可逆的？ ,海洋,冰層,全球海平面,以上皆是,4
54,(113-5) 金融機構協助民眾轉帳時免於被詐騙，這有助於達成哪一項永續目標(或減緩哪一個風險)？ ,消除貧窮,公共安全威脅,城鄉差距擴大,減少不平等,2
55,(113-5) 下列何者為長期性的氣候實體風險？ ,今年侵台颱風個數比去年多,八八風災重創小林村,卡努颱風重創南投,臺灣夏季增長,4
56,(113-5) 2007~2016 年度最大的土地二氧化碳排放來自何處？ ,熱帶森林砍伐,種植水稻,畜牧牛羊,泥炭地劣化,1
57,(113-5) 聯合國「2030 永續發展」的 17 項目標中，哪一項與治理風險關聯度較低？ ,負責任的消費與生產,消除飢餓,性別平等,和平正義與有力的制度,2
58,(113-5) 下列何者是氣候變遷的調適策略？ 甲、遷居到地勢較高的地區；乙、增高堤防；丙、種植耐旱的農作 物；丁、造林和植樹 ,甲、乙、丙,甲、丙,甲、丁,乙、丙、丁,1
59,(113-5) 根據世界經濟論壇《2023 全球風險報告》，未來 10 年內影響全球的最大風險為何？ ,自然災害與極端天氣事件,氣候變遷調適失敗,生活成本負擔困境,減緩氣候變遷失敗,4
60,(113-5) 根據 IPCC《氣候變遷與土地(Climate Change and Land)》特別報告，畜牧業和稻米生產是甲烷排放的主要來 源，合計佔比為何？ ,35%,45%,55%,65%,2
61,(113-5) 各國主管機關所發布之盡職治理守則，主要規範對象為以下何者？ ,上市櫃公司,一般投資人,機構投資人,理財顧問,3
62,(113-5) 金融機構以 ESG 和永續金融作為推動項目，以下哪些是較好的作法？ 甲、減少 ESG 公司獲得金融機構 融資的機會；乙、提升 ESG 資訊揭露品質；丙、強制要求員工參加淨灘活動；丁、進行氣候變遷的壓力 測試 ,僅甲、乙,僅乙、丁,僅甲、乙、丙,甲、乙、丙、丁皆是,2
63,(113-5) 下列何種貸款之資金應全部用於能夠發揮環境及社會影響力之專案？ ,綠色貸款,社會貸款,永續貸款,永續連結貸款,3
64,(113-5) 公司甲發行公司債籌資，且其籌得資金將全部用於風力發電設備投資，試問該債券可以向櫃買中心申請何 種債券認可？ ,綠色債券,社會責任債券,可持續發展債券,以上皆是,1
65,(113-5) 公司甲通過證券櫃檯櫃買賣中心的認定發行綠色債籌資，請問以下何者最不可能是該債券的資金用途？ ,能源科技發展,溫室氣體減量,生物多樣性保育,創造就業,4
66,(113-5) 排除篩選(Exclusion Screening)是一種永續投資策略，其主要目的是？ ,最大化短期股價,優化投資組合分散性,提高公司的 ESG 評級,排除特定負面行業或公司,4
67,(113-5) 請問巴黎協定是在解決哪一方面的全球挑戰？ ,氣候變遷,勞工權益,性別平等,生物多樣性,1
68,(113-5) 影響力投資的主要特點是什麼？ ,以追求最高市場報酬為目標的投資,投資主要集中在新興市場,旨在產生積極的社會和∕或環境影響，同時實現財務報酬,基本上與慈善事業相同，只追求社會影響,3
69,(113-5) 以下何者為 ESG 評比社會項目常見之指標？ ,員工福利,氣候曝險,股東政策,生物多樣性,1
70,(113-5) 何種債券所募集之資金將全部同時用於綠色投資計畫及社會效益投資計畫？ ,綠色債券,社會責任債券,可持續發展債券,轉型債券,3
71,(113-5) 下列哪些是金融機構發展永續金融常見的作法？ 甲、將資金導入重視 ESG 的企業；乙、不提供資金給 對環境不良影響的企業；丙、納入化石燃料及高汙染排放的產業投資；丁、提供資金協助企業淨零轉型 (,僅甲、乙、丙,僅乙、丙、丁,僅甲、乙、丁,甲、乙、丙、丁皆是,3
72,(113-5) 永續發展債券(GSSS)不包含以下何者主題？,綠色債券(Green),社會債券(Social),公司治理(Governance),可持續發展(Sustainability),3
73,(113-5) 目前產險公會將綠色保險區分為四大類別，請問離岸風電保險屬於哪一個類別？ ,積極性節能減碳保險,消極性風險移轉保險,再生能源產業保險,創新服務與流程,3
74,(113-5) 以下哪些是綠色金融商品之主題範圍？ 甲、廢棄物處理和回收；乙、水衛生；丙、生物多樣性；丁、勞工安全 ,僅甲、乙,僅乙、丙,僅甲、乙、丙,甲、乙、丙、丁皆是,3
75,(113-5) 面對全球淨零目標及減碳策略所衍生的資金需求，以下何者不是銀行業者普遍採用的因應措施？ ,對環境與永續相關建設專案提供優惠利率,將碳排要素納入授信審核要件,開發永續目標連結之新型貸款商品,提升短天期貸款的貸放額度，因應及時融資需求,4
76,(113-5) 永續連結貸款原則，以下有關永續發展績效目標(SPT)的敘述是錯誤的？,必須代表每個 KPI 的實質改善，且要比之前的標準好,要能與基準或外部指標相比較,可在貸款發放後設定,要與借款人整體 ESG 策略保持一致,3
77,(113-5) 我國金管會針對 ESG 主題基金訂定具體滿足標準，以下何者非必須特徵？ ,是否投資於改善環境特徵之產業,採用永續投資策略與方法,是否有排除政策,發行 ESG 基金後定期揭露相關資訊,1
78,(113-5) 目前市面上的「番石榴農作物保險」屬於哪一類型的綠色保險？ ,氣候保險,參數型天氣保險,環境汙染責任保險,共享經濟保險,2
79,(113-5) 因應減碳目標，在建構以達成減碳為主題的指數時，以下哪個碳排放指標在減碳上是對全球暖化問題較有 顯著的影響？ ,範疇一,範疇二,範疇三,以上皆非,3
80,(113-5) 下列有關於參數型天氣保險(Weather Index-based Insurance)的敘述何者錯誤？ ,除天氣參數外，仍須達到一定損失保險公司才會理賠,保險公司無須訪查被保險人的損害程度,被保險人取得理賠的速度較快,參數型天氣保險常以降水量作為參數,1
1,(114-1)永續投資中金融業的角色為何？ 甲.符合股東及社會長期最佳利益；乙.引導資金流向永續發展相關項目；丙.協 助不利永續發展之產業轉型,僅甲、乙,僅甲、丙,僅乙、丙,甲、乙、丙皆是,4
2,(114-1)上市上櫃公司永續發展實務守則中，上市上櫃公司之董事會於公司推動永續發展目標，內容不包含下列哪一項？,鼓勵公司追求最大化短期獲利,考量利害關係人之利益，提出永續發展使命或願景,永續發展納入公司之營運活動與發展方向,永續發展相關資訊揭露之即時性與正確性,1
3,(114-1)金融業將 ESG 規範納入決策機制，其用意包含下列何者？,投資授信之參考，運用 ESG 來審視投融資對象,授信、投資或金融商品之業務方向，引導企業與投資人重視永續議題,提升金融業的競爭力和長期價值,以上皆是,4
4,(114-1)因應企業碳盤查需求，對於盤查對象及查驗機構採哪一種方式管理？,分類管理,分群管理,分級管理,統一管理,3
5,(114-1)歐盟的碳價除受政策干預外，係根據下列何者利用「污染者付費」的做法激勵企業從事減碳？,碳排放量,碳抵消的排放量,碳洩漏的排放量,碳權憑證的供需,4
6,(114-1)我國推動上市櫃公司永續發展路徑圖，資本額 50 億元以下合併報表子公司完成確信須在哪一年完成？,2024 年,2027 年,2028 年,2029 年,4
7,(114-1)聯合國政府間氣候變遷專門委員會(IPCC)目前已發布幾次評估報告(Assessment Report)？,3 次,4 次,5 次,6 次,4
8,(114-1)1972 年 6 月，聯合國首次針對環境問題舉辦人類環境會議(Conference on the Human Environment)，該次會議 通過的宣言為以下何者？,里約環境與發展宣言(Rio Declaration on Environment and Development),日內瓦部長宣言(The Geneva Ministerial Declaration),斯德哥爾摩宣言(Stockholm Declaration),格拉斯哥聯合宣言(Glasgow Declaration),3
9,(114-1)歐盟提及各經濟活動必須對六大環境目標中至少有幾項具有重大貢獻，才能算是永續發展活動？,一項,二項,三項,四項,1
10,(114-1)上市上櫃公司永續發展實務守則中，上市上櫃公司之董事會於公司推動永續發展目標時，宜充分考量何者的利益？,股東,員工,利害關係人,客戶,3
11,(114-1)我國推動上市櫃公司永續發展路徑圖，盤查時程規劃不包含哪一項？,第一階段(2023 年)：資本額 100 億元以上之上市櫃公司，及鋼鐵、水泥業盤查個體公司,第二階段(2025 年)：資本額 100 億元以上之上市櫃公司，及鋼鐵、水泥業之合併報表子公司完成盤查,第三階段(2026 年)：資本額 50 至 100 億元上市櫃公司之合併報表子公司完成盤查,第一階段(2024 年)：資本額 100 億元以上之上市櫃公司，及鋼鐵、水泥業完成確信,4
12,(114-1)關於「利害關係人理論」之敘述，下列敘述何者較不適當？,將利害關係人受影響程度放置在營運模式,追求極大化股東利潤為終極目標,強調企業經營必須為所有人創造永續且長期共同價值,確保企業價值能與社會價值能相吻合,2
13,(114-1)上市上櫃公司永續發展實務守則中，發展永續環境內容中，不包含下列哪一項？,宜致力於提升能源使用效率,強制企業採取綠色產品開發,使用對環境負荷衝擊低之再生物料,設立環境管理專責單位或人員，並定期舉辦環境教育課程,2
14,(114-1)上市上櫃公司永續發展實務守則中，發展永續環境應遵循哪些規則？,國際準則,環境相關法規,環境相關法規及國際準則,以上皆非,3
15,(114-1)有關企業永續報告指令(CSRD)與非財務報告指令(NFRD)在揭露強制性之比較，下列敘述何者正確？,CSRD 無強制性揭露標準,受 NFRD 約束的企業需依據 ESRS 進行報告,受 CSRD 約束的企業無需依據 ESRS 進行報告,NFRD 只要求員工人數超過 500 人的公眾利益企業需報告其永續發展資訊,4
16,(114-1)第一個同時呼籲已開發和發展中國家做出減排承諾的全球協議為下列何者？,利馬氣候行動呼籲(Lima Call for Climate Action),格拉斯哥氣候協議(Glasgow Climate Pact),巴黎協定(Paris Agreement),京都議定書(Kyoto Protocol),3
17,(114-1)有關永續金融揭露規範(SFDR)的推行，第一階段 SFDR 1.0 從 2021 年 3 月 10 日開始，主要推動的內容為何？,針對包括資產管理業者與投資基金業者等金融市場參與者提出原則性的遵循要求,提出監管技術標準(RTS)，共同依據 SFDR 所制定關於 ESG 揭露之草案,加強對最終投資者的保護，並改善其從金融市場參與者和財務顧問處獲得有關金融產品資訊的品質,內容涵蓋具體應揭露之資訊內容與應採取揭露形式之相關細節要求項目,1
18,(114-1)聯合國政府間氣候變遷專門委員會(IPCC)之第 6 次總結報告(AR6 Synthesis Report)主要強調的內容為何？,對減緩氣候變化的進展和承諾進行最新的全球評估,氣候變遷對世界的影響與人類的因應能力分析,強調氣候變遷、人類社會、生態系統之間的互動,探討全球暖化的原因,3
19,(114-1)聯合國永續發展目標 SDGs 目標重點內容：減少傳染病傳播，及提供基本醫療服務，是屬於下列哪一個目標的 內容？,消除飢餓、落實糧食安全、改善營養及促進永續農業,確保健康、促進各年齡層的福祉,促進和平且包容的社會、司法與各階級之間的平等,落實性別平等、婦女平權,2
20,(114-1)聯合國永續發展目標 SDGs 目標 12：落實永續消費及生產模式，下列哪一個不屬於目標重點內容？,促進綠色產品與技術之研發及應用,針對永續消費及生產，強化相關資訊提供與人才培育,推廣永續消費,推動生態旅遊,4
21,(114-1)我國推動上市櫃公司永續發展行動方案，五大面向之中的精進永續資訊揭露，不包含下列何者？,研議推動 ISSB 永續揭露準則,推動興櫃公司採候選人提名制,擴大永續資訊揭露範圍,精進年報資訊揭露規範,2
22,(114-1)「千禧年發展目標」(MDGs)，跟「永續發展目標」(SDGs)最大的差別何在？,發起機構不同，MDGs 不是由聯合國倡議發起,SDGs 特別偏重氣候變遷議題,MDGs 未考慮性別歧視課題,SDGs 將已開發、開發中經濟體一併納入，共同面對更多元議題,4
23,(114-1)我國氣候變遷因應法中，增訂氣候變遷調適專章三大重點，下列何者為非？,確定推動架構,推動全民參與,基礎能力建構,科研推估接軌,2
24,(114-1)臺灣 2050 淨零排放路徑以四大轉型為策略，請問下列哪一個項目在其中？,科技轉型,氣候轉型,法制轉型,生活轉型,4
25,"(114-1)SASB 準則五大面向當中的人力資本(Human Capital)，針對其中一項 ESG 議題：員工對企業之認同感、多樣性 與包容(Employee Engagement, Diversity & Inclusion)，下列描述何者不正確？",此議題探討公司如何確保其企業文化、聘僱和晉昇實務能夠建立具多元與包容性的團隊之能力,此議題進一步解決了公司與有組織勞工和結社自由的關係,同時反映了當地人才庫及其客戶群的構成,此議題包括如何處理歧視，包括但不限於基於種族、性別、民族、宗教、性取向和其他因素的歧視,2
26,(114-1)在台灣，會計師依據以下哪一號準則規範，進行溫室氣體聲明之確信工作？,審計準則 220 號「查核歷史性財務資訊之品質管制」,確信準則 3000 號「非屬歷史性財務資訊查核或核閱之確信案件」,確信準則 3410 號「溫室氣體聲明之確信案件」,審計準則 720 號「其他資訊之閱讀與考量」,3
27,(114-1)我國金融監督管理委員會於 2020 年 8 月公告公司治理 3.0-永續發展藍圖，下列描述何者錯誤？,參考國際準則規範(永續會計準則委員會 SASB)來強化永續報告書揭露,依據 GRI 準則編製之 CSR 報告書，因其目標對象係針對所有利害關係人，揭露內容皆與 ESG 議題相關，已 足夠判斷未來可能影響公司財務、甚至股價之 ESG 相關資訊，有利於投資人作為投資決策參考,強化上市櫃公司 ESG 資訊揭露參考國際準則(氣候相關財務揭露規範 TCFD)，以此規範強化永續報告書揭露,國際投資人及產業鏈日益重視 ESG 相關議題，實有必要擴大上市櫃公司編製 CSR 報告書之範圍，因此考量 國際氣候相關財務揭露規範(TCFD)，讓企業正視並有效評估其可能風險,2
28,(114-1)SASB(Sustainability Accounting Standards Board)的中文譯名為何？,國際整合性報導委員會,全球永續性報告協會,永續會計準則委員會,國際永續準則委員會,3
29,(114-1)根據「保險業氣候相關風險財務揭露指引」，保險業氣候相關風險之指標與目標包括下列何者？ 甲.設定評估 及管理氣候相關風險之指標；乙.設定氣候相關風險管理之目標；丙.訂定氣候相關風險依重大性排序之判斷指標； 丁.考量將氣候相關風險之管理納入績效衡量指標,僅甲、乙、丙,僅甲、乙,僅甲、丙、丁,甲、乙、丙、丁皆是,4
30,(114-1)國內外常見的溫室氣體盤查規範，下列哪一個不是？,ISO 14064-1：2018,CNS 14064-1：2021,PAS 2060,溫室氣體盤查議定書－企業會計與報告標準,3
31,(114-1)有關 GRI 準則中對於決定重大主題時，組織為了鑑別衝擊而使用的資訊來源，下列何者錯誤？,可以透過組織自己建立的申訴機制來蒐集,組織同時也可以使用來自更廣泛的企業風險管理系統的資訊,更廣泛的企業風險管理系統專門鑑別組織本身的風險，不包含對組織外部經濟、環境和人群的衝擊,組織可以使用的外部資訊來源包括新聞機構和公民社會組織,3
32,(114-1)根據「保險業氣候相關風險財務揭露指引」，保險業氣候相關風險之風險管理機制包括下列何者？,風險管理及監控,情境分析及壓力測試,投資管理,以上皆是,4
33,(114-1)「我國接軌國際財務報導準則(IFRS)永續揭露準則藍圖」分幾階段適用 IFRS？,二階段,三階段,四階段,五階段,2
34,(114-1)「永續報告書作業辦法」規範企業揭露溫室氣體排放量之密集度至少揭露以哪種強度計算的數據？,每單位產品,每百萬元營業額,每單位服務,每單位廠區,2
35,(114-1)氣候相關財務揭露工作小組(TCFD)建議揭露管理階層在評估和管理氣候相關風險與機會的角色，屬於四項核心 要素當中的哪一項？,治理,策略,風險管理,指標和目標,1
36,(114-1)依股東會年報應揭露事項規定企業揭露氣候相關資訊，何者為錯誤？,敘明董事會與管理階層對於氣候相關風險與機會之監督及治理,敘明極端氣候事件及轉型行動對財務之影響,敘明氣候風險之辨識、評估及管理流程如何整合於整體風險管理制度,設定溫室氣體減量目標應以科學基礎碳目標設定減量目標,4
37,(114-1)「本國銀行氣候風險財務揭露指引」要求銀行針對哪兩項風險進行情境分析與壓力測試，以評估氣候風險對其業 務之影響？ 甲.轉型風險；乙.實體風險；丙.信用風險；丁.市場風險,僅甲、乙,僅甲、丙,僅乙、丙,僅丙、丁,1
38,(114-1)歐盟永續分類標準(EU Taxonomy)為確保資金流向對歐盟氣候及環境政策目標有實質幫助的項目上，強制歐盟金 融業、大型企業以及歐盟會員國在年報中揭露以下哪些事項？,資產管理公司必須揭露其投資組合之權重,資產管理公司必須報告其投資組合中投資於符合歐盟分類標準的活動的百分比,公司和資產管理公司必須揭露其與利害關係人之議合,公司和資產管理公司必須揭露其與銀行往來之融資關係,2
39,(114-1)關於溫室氣體盤查，下列描述何者不正確？,企業若要執行國際溫室氣體盤查，涵蓋範疇僅分為直接排放(範疇一)、能源間接排放(範疇二)共兩種,我國氣候變遷因應法明訂二氧化碳(CO2)、甲烷(CH4)、氧化亞氮(N2O)、氫氟碳化物(HFCs)、全氟碳化物(PFCs)、 六氟化硫(SF6)及三氟化氮(NF3)等氣體為溫室氣體,直接溫室氣體排放(範疇一)：指來自於製程或設施之直接排放，屬於公司所擁有或控制的排放源，包括固定/ 移動燃燒源、製程/逸散排放源等,能源間接溫室氣體排放(範疇二)：指公司因外購的電力、蒸氣、熱，是來自於別人所擁有的資產、設備所產生 的溫室氣體排放,1
40,(114-1)請問以下哪個產業不在現行規範揭露產業別永續揭露指標的 14 個產業？,鋼鐵工業,建材營造業,電腦及週邊設備業,油電燃氣業,2
41,(114-1)下列何者為「證券投資信託事業證券投資顧問事業環境、社會及治理(ESG)投資與風險管理作業流程暨 ESG 資 訊揭露實務指引」建議如發現重大異常或特殊情況應立即依內部規範採取因應措施，並提報之最高單位？,股東會,董事會,總經理,高階管理階層,2
